objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,graffiti_001.jpg,,,Graffiti 001,,2024-11-26,Paint on a brick wall and on a security gate.,Graffiti;Tagging,,,,,,,image/jpeg,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,graffiti_002.jpg,,,Graffiti 002,,2024-11-26,Paint on a brick wall.,Graffiti;Figure,,,,,,,image/jpeg,,Public domain,
coll003,,,,,,,,,,,,,,,,,,
coll004,,,,,,,,,,,,,,,,,,
coll005,,,,,,,,,,,,,,,,,,
coll006,,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
